"Año","Mes","Empresa","Circuito","Tipo Indicador","DPIR","FPI","FMIK","TTIK","FIM","FIP","FIT","DAI","FI","Abonados Por Circuito"
"2022","Diciembre ","ICE","BELEN-ALAJUELA","2","4.22","2.75","","","","","","","","16166"
"2022","Diciembre ","ICE","COCO-INDUSTRIAS","1","0.45","0.91","","","","","","","","340"
"2022","Diciembre ","ICE","COCO-DULCE NOMBRE","2","1.0200000000000002","0.6699999999999999","","","","","","","","10427"
"2022","Diciembre ","ICE","COCO-DULCE NOMBRE","1","1.0200000000000002","0.6699999999999999","","","","","","","","10427"
"2022","Diciembre ","ICE","COCO-CATEDRAL","3","2.5","0.92","","","","","","","","5886"
"2022","Diciembre ","ICE","COCO-CATEDRAL","2","4.25","1.88","","","","","","","","5886"
"2022","Diciembre ","ICE","COCO-CATEDRAL","1","4.25","1.88","","","","","","","","5886"
"2022","Diciembre ","ICE","COCO-AUTODROMO","3","0.76","0.47","","","","","","","","8300"
"2022","Diciembre ","ICE","COCO-AUTODROMO","2","4.55","2.3299999999999996","","","","","","","","8300"
"2022","Diciembre ","ICE","COCO-AUTODROMO","1","4.55","2.3299999999999996","","","","","","","","8300"
"2022","Diciembre ","ICE","COCO-ALAJUELA","3","0.78","0.34","","","","","","","","5707"
"2022","Diciembre ","ICE","COCO-ALAJUELA","2","2.8400000000000003","1.5600000000000003","","","","","","","","5707"
"2022","Diciembre ","ICE","COCO-ALAJUELA","1","2.8400000000000003","1.5600000000000003","","","","","","","","5707"
"2022","Diciembre ","ICE","CAÑAS-URBANO","3","2.0300000000000002","3.14","","","","","","","","8099"
"2022","Diciembre ","ICE","CAÑAS-URBANO","2","3.27","4.279999999999999","","","","","","","","8099"
"2022","Diciembre ","ICE","COCO-DULCE NOMBRE","3","0.38","0.28","","","","","","","","10427"
"2022","Diciembre ","ICE","LIBERIA-CONDOVAC","2","4.969999999999999","1.34","","","","","","","","234"
"2022","Diciembre ","Coopealfaroruiz","SECTOR SUR","3","0.58","1","0.03","0.37","","1","1","0.58","2","2758"
"2022","Diciembre ","Coopealfaroruiz","LAGUNA NORTE","1","4.1","3.1","0.058","0.021","","2","","4.1","2","3480"
"2022","Diciembre ","Coopealfaroruiz","LAGUNA NORTE","3","0.63","1.1","0.012","0.011","","1","","0.63","1","3480"
"2022","Diciembre ","Coopealfaroruiz","SECTOR SUR","2","0.66","1","0.036","0.49","","1","1","0.66","2","2758"
"2022","Diciembre ","Coopealfaroruiz","SECTOR SUR","1","2.123","2.1","1.03","2.55","","2","2","1.26","4","2758"
"2022","Diciembre ","Coopealfaroruiz","ZARCERO CENTRO","3","1.146","2","0.01","0.069","","1","2","1.066","3","1904"
"2022","Diciembre ","Coopealfaroruiz","ZARCERO CENTRO","2","1.25","2.02","0.02","0.11","","2","2","1.2","4","1904"
"2022","Diciembre ","Coopealfaroruiz","ZARCERO CENTRO","1","3.68","3.25","0.027","0.15","","3","4","3","7","1904"
"2022","Diciembre ","Coopealfaroruiz","TORO","3","0.23","2","0.002","0.006","","2","","0.23","2","200"
"2022","Diciembre ","Coopealfaroruiz","TORO","2","0.3","2","0.009","0.011","","2","","0.3","2","200"
